galaxy,failure_boundary_condition,category,diagnostic_note
UGC05764,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC05829,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC05829,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC05829,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC05918,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC05918,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
UGC05918,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC05918,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC05918,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
UGC05986,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC05986,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC06399,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
UGC06399,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC06399,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC06399,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC06399,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
UGC06446,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC06446,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC06446,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC06614,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC06614,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC06614,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
UGC06667,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC06667,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
UGC06667,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC06667,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC06786,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC06786,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC06786,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC06787,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC06787,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC06787,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC06818,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
UGC06818,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC06818,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC06917,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC06917,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC06917,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC06917,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
UGC06930,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC06930,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC06930,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC06973,pathology_archive_zone,archive_not_repaired,Do not promote to physical interpretation.
UGC06973,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
UGC06973,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC06973,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC06983,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC06983,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC06983,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC06983,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC07089,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC07089,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC07089,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC07089,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
UGC07125,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC07125,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC07151,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC07323,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC07323,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC07323,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC07323,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
UGC07399,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC07399,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC07524,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC07524,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC07577,pathology_archive_zone,archive_not_repaired,Do not promote to physical interpretation.
UGC07577,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
UGC07577,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC07577,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC07603,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC07608,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
UGC07608,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC07608,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC07608,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
UGC08286,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC08286,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC08286,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC08490,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC08550,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC08550,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC08550,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC08699,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC08837,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
UGC09037,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC09037,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC11455,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC11557,pathology_archive_zone,archive_not_repaired,Do not promote to physical interpretation.
UGC11557,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC11557,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC11557,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC11557,family_rar_comparator_degeneracy,comparator_boundary,No strong family-vs-RAR diagnostic separation under AIC threshold 10.
UGC11820,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC11820,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC11820,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC11914,pathology_archive_zone,archive_not_repaired,Do not promote to physical interpretation.
UGC11914,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC11914,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC12506,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC12506,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC12632,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC12632,low_proxy_centroid_margin,proxy_degeneracy,Proxy-only constructive control gives weak class-separation margin.
UGC12632,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGC12632,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
UGC12732,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGC12732,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGCA442,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGCA442,low_rotation_curve_point_count,data_density_risk,Low point count can destabilize residual-regime interpretation.
UGCA442,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGCA444,nuisance_sensitive_zone,nuisance_boundary,Treat as systematics/model-sensitivity boundary material.
UGCA444,neighbor_monotone_kernel_competes_or_beats_locked_kernel,fixed_exponent_nonuniqueness,Supports family interpretation rather than fixed exponent.
UGCA444,family_nfw_comparator_degeneracy,comparator_boundary,No strong family-vs-NFW diagnostic separation under AIC threshold 10.
